Date,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
2007-10-31,-0.22604346879306458,-0.11061111093680172,-4.120070166096473e-05,-4.111947451764885e-05,-0.0028446007072067104,-4.1140896182463115e-05
2007-12-11,-0.24980935284344924,-0.13700685421857955,-4.174438409131882e-05,-4.159504994531259e-05,-0.0022480276054594062,-4.161508766436371e-05
2008-01-30,-0.2145523125606471,-0.12367100707390091,-3.986014630873453e-05,-3.980410297119538e-05,-0.01594290735883967,-3.982304304673364e-05
2008-03-18,-0.1982970891063215,-0.08954783344346423,-3.224433461104577e-05,-3.2188297028919734e-05,-0.0010757814728133094,-3.2204386223478626e-05
2008-04-30,-0.2599034046055196,-0.08038986941831366,-3.300543776415416e-05,-3.295924834615656e-05,-3.331652443956493e-05,-3.29766805105498e-05
2008-06-25,-0.27040517754867416,-0.06872620713403779,-3.853190006761954e-05,-3.845481375167403e-05,-3.886845909582659e-05,-3.8474430087193146e-05
2008-08-05,-0.2541654240439916,-0.07422690517657644,-4.4691781433584964e-05,-4.464569680084962e-05,-4.509335867170404e-05,-4.466851395438555e-05
2008-09-16,-0.22059360290289187,-0.05377442362639879,-3.539547755661146e-05,-3.534164833421881e-05,-3.56822289490682e-05,-3.535803743800678e-05
2008-10-29,-0.10281089712286616,-0.019213729964446067,-1.0307004369039842e-05,-1.0227545649460804e-05,-1.0333866282704087e-05,-1.0232195917098808e-05
2008-12-16,-0.11573664015972437,-0.01842157068920535,-1.0228947710964258e-05,-1.0193615512275465e-05,-1.0302489350599756e-05,-1.0198297630608315e-05
2009-01-28,-0.13538330011358737,-0.009811114576584937,-1.4250686234917706e-05,-1.4195387043766801e-05,-1.4334108261316406e-05,-1.4201776332410716e-05
2009-03-18,-0.16804809346141278,-0.043287731362650975,-2.3149793500216324e-05,-2.3115761968326788e-05,-2.3354521315820045e-05,-2.3126527723295024e-05
2009-04-29,-0.27159633904363234,-0.032377360864901415,-2.992826259310537e-05,-2.9874614949066755e-05,-3.0175572512771184e-05,-2.9888892873262433e-05
2009-06-24,-0.3104329238489015,-0.03444320857803249,-3.091766043480516e-05,-3.087407347402445e-05,-3.118662303390438e-05,-3.0889216123243795e-05
2009-08-12,-0.2654834271654404,-0.02822878686260958,-2.5533772200586258e-05,-2.5472624837058876e-05,-2.5727181514831506e-05,-2.5485383088226276e-05
2009-09-23,-0.2950899078421942,-0.0278732438065053,-2.841221015117848e-05,-2.8363561806695067e-05,-2.8618682885949356e-05,-2.8376973379699197e-05
